order_id,order_amount,status,created_at,refunded_amount,payment_ref
ORD-00044,310200,paid,2026-08-03T07:16:00Z,0,
ORD-00045,365500,paid,2026-08-03T12:32:00Z,0,pay_5Z2KLeauYo
ORD-00046,528400,paid,2026-08-04T16:18:00Z,0,
ORD-00047,318400,paid,2026-08-04T13:23:00Z,0,pay_zeEywM3M9u
ORD-00048,667000,paid,2026-08-04T16:03:00Z,0,pay_XTzbA79Nu1
ORD-00049,86300,paid,2026-08-03T16:39:00Z,0,402913847999
ORD-00050,39400,paid,2026-08-04T17:47:00Z,0,
ORD-00051,702700,paid,2026-08-03T21:58:00Z,0,pay_c23TWtHBYu
ORD-00052,508200,refunded,2026-08-03T06:04:00Z,508200,pay_iJKKhmdYr0
ORD-00053,308900,paid,2026-08-04T20:28:00Z,0,pay_q4eZnmhC67
ORD-00054,578600,paid,2026-08-03T17:54:00Z,0,pay_B6ibs9P7ZL
ORD-00055,476800,paid,2026-08-04T17:36:00Z,0,402913847999
ORD-00056,891700,paid,2026-08-04T17:57:00Z,0,pay_aYqXozkCQb
ORD-00057,132500,paid,2026-08-03T06:54:00Z,0,pay_FW6jBF0G29
ORD-00058,686900,paid,2026-08-03T11:33:00Z,0,402913847999
ORD-00059,347900,paid,2026-08-04T11:06:00Z,0,pay_xov0ubk4B5
ORD-00060,390200,paid,2026-08-04T18:41:00Z,0,pay_wYKXYNfhXB
ORD-00061,435100,paid,2026-08-04T11:14:00Z,0,pay_PysCADw21X
ORD-00062,333800,refunded,2026-08-03T18:25:00Z,333800,pay_26UED5iu0K
ORD-00063,572500,refunded,2026-08-05T10:38:00Z,572500,
ORD-00064,742000,paid,2026-08-05T13:05:00Z,0,pay_WJr1JS8NkE
ORD-00065,619100,paid,2026-08-05T06:22:00Z,0,pay_vVLf7qf40X
ORD-00066,659900,refunded,2026-08-05T09:49:00Z,659900,pay_MqKLm77ijx
ORD-00067,258100,paid,2026-08-05T17:21:00Z,0,pay_hB3ZZXtGKJ
ORD-00068,507600,paid,2026-08-05T18:34:00Z,0,pay_KpVxfJHX6Q
ORD-00069,102600,paid,2026-08-05T20:24:00Z,0,pay_SRo2FgvN3J
ORD-00070,85100,paid,2026-08-05T16:01:00Z,0,pay_5ayyEQXXTf
ORD-00071,141200,paid,2026-08-05T15:41:00Z,0,pay_ncjXwqVNMn
ORD-00072,663900,paid,2026-08-05T13:17:00Z,0,pay_u6jyNXMPCV
ORD-00073,618100,paid,2026-08-05T16:35:00Z,0,402914001233
ORD-00074,248400,paid,2026-08-05T14:45:00Z,0,402914001233
ORD-00075,868400,partially_refunded,2026-08-05T09:51:00Z,394700,402914001233
ORD-00076,36600,paid,2026-08-05T08:32:00Z,0,402914001233
ORD-00077,42600,paid,2026-08-05T13:53:00Z,0,
ORD-00078,175400,paid,2026-08-05T21:01:00Z,0,pay_j1wfVSasR0
ORD-00079,454700,paid,2026-08-05T14:02:00Z,0,402914001233
ORD-00080,198000,paid,2026-08-05T13:48:00Z,0,pay_DhzUmw8rbb
ORD-00081,750000,paid,2026-08-05T10:52:00Z,0,pay_qoTdSRHSYn
ORD-00082,634300,paid,2026-08-05T12:02:00Z,0,402914001233
ORD-00083,266100,paid,2026-08-05T22:10:00Z,0,pay_BdFvRAZ0Ys
ORD-00084,576300,paid,2026-08-05T17:41:00Z,0,pay_cvQwyc0TH2
ORD-00085,561300,paid,2026-08-05T22:55:00Z,0,pay_yZUz89fgC7
ORD-00086,292300,paid,2026-08-05T12:10:00Z,0,402914001233
ORD-00087,413100,paid,2026-08-05T15:30:00Z,0,
ORD-00088,537800,paid,2026-08-05T07:25:00Z,0,pay_YLwdAmj7fi
ORD-00089,374500,paid,2026-08-05T16:45:00Z,0,pay_HhcEFa5RsR
ORD-00090,807000,paid,2026-08-05T18:31:00Z,0,pay_5oeCm9bpkL
ORD-00091,127000,paid,2026-08-06T12:01:00Z,0,402914118876
ORD-00092,400800,paid,2026-08-06T13:18:00Z,0,pay_V0ikH3pW0S
ORD-00093,462700,paid,2026-08-06T17:30:00Z,0,
ORD-00094,569400,paid,2026-08-06T15:23:00Z,0,pay_XAz772f5Qu
ORD-00095,712700,paid,2026-08-06T11:29:00Z,0,402914118876
ORD-00096,382500,paid,2026-08-06T08:31:00Z,0,pay_ME1hDBZt4C
ORD-00097,530200,paid,2026-08-06T11:13:00Z,0,402914118876
ORD-00098,121300,paid,2026-08-06T19:25:00Z,0,pay_wkv9EK3mBe
ORD-00099,430200,paid,2026-08-06T12:04:00Z,0,
ORD-00100,750500,paid,2026-08-06T10:34:00Z,0,pay_Cbxs85aqJR
ORD-00101,438300,paid,2026-08-06T09:06:00Z,0,pay_8zp3cjpCQ4
ORD-00102,459000,paid,2026-08-06T10:18:00Z,0,402914118876
ORD-00103,466200,paid,2026-08-06T12:38:00Z,0,402914118876
ORD-00104,82900,paid,2026-08-06T11:29:00Z,0,pay_fHdurCneTC
ORD-00105,247900,paid,2026-08-06T18:08:00Z,0,pay_WBPdRuGHzD
ORD-00106,687600,paid,2026-08-06T14:26:00Z,0,pay_ZAyz3hemNK
ORD-00107,303900,paid,2026-08-06T15:02:00Z,0,pay_HLYZrk60Wr
ORD-00108,814200,refunded,2026-08-06T19:20:00Z,814200,pay_MXh5E2U2To
ORD-00109,766700,refunded,2026-08-06T18:40:00Z,766700,pay_bHyPa21uND
ORD-00110,163700,paid,2026-08-06T07:48:00Z,0,pay_uTaHoeSELA
ORD-00111,763900,paid,2026-08-06T20:50:00Z,0,pay_Na939gRMnR
ORD-00112,268500,paid,2026-08-06T20:25:00Z,0,pay_vLB8ChXwfC
ORD-00113,604000,paid,2026-08-06T07:21:00Z,0,pay_ESiQgGAZG8
ORD-00114,356700,paid,2026-08-06T19:20:00Z,0,pay_qbAYerWgDB
ORD-00115,751800,paid,2026-08-06T12:28:00Z,0,402914118876
ORD-00116,179800,paid,2026-08-06T10:56:00Z,0,
ORD-00117,458100,paid,2026-08-06T13:19:00Z,0,
ORD-00118,767100,paid,2026-08-06T11:39:00Z,0,
ORD-00119,633300,paid,2026-08-06T20:37:00Z,0,pay_92b7vXo41X
ORD-00120,422000,paid,2026-08-06T08:03:00Z,0,pay_aNEYyihQXs
ORD-00121,611100,paid,2026-08-08T18:20:00Z,0,pay_pvYevp4DRu
ORD-00122,508900,paid,2026-08-07T16:54:00Z,0,402914203451
ORD-00123,440000,paid,2026-08-08T10:23:00Z,0,402914203451
ORD-00124,323700,paid,2026-08-07T12:56:00Z,0,pay_CcjeyWZQ6Y
ORD-00125,35600,paid,2026-08-09T06:41:00Z,0,pay_rC6pDvT6RL
ORD-00126,824300,paid,2026-08-07T18:04:00Z,0,pay_HEUi9QbmBq
ORD-00127,157500,paid,2026-08-09T17:14:00Z,0,pay_D23JdC2ids
ORD-00128,374000,paid,2026-08-09T16:23:00Z,0,pay_KZ6Z30kFXw
ORD-00129,816500,paid,2026-08-07T19:11:00Z,0,402914203451
ORD-00130,840100,paid,2026-08-08T06:49:00Z,0,pay_SkhoroRcq4
ORD-00131,663200,paid,2026-08-07T18:43:00Z,0,402914203451
ORD-00132,828200,refunded,2026-08-07T10:42:00Z,828200,402914203451
ORD-00133,611500,refunded,2026-08-08T22:34:00Z,611500,
ORD-00134,834900,paid,2026-08-07T14:46:00Z,0,pay_Bvvc9R6cJK
ORD-00135,444500,paid,2026-08-07T16:14:00Z,0,402914203451
ORD-00136,889600,paid,2026-08-07T21:57:00Z,0,
ORD-00137,174200,paid,2026-08-07T07:28:00Z,0,
ORD-00138,698000,paid,2026-08-09T11:32:00Z,0,402914203451
ORD-00139,174100,paid,2026-08-08T21:40:00Z,0,402914203451
ORD-00140,739700,paid,2026-08-08T06:56:00Z,0,402914203451
ORD-00141,251200,paid,2026-08-09T13:32:00Z,0,402914203451
ORD-00142,576700,paid,2026-08-09T13:07:00Z,0,pay_CudmmvErAF
ORD-00143,737000,paid,2026-08-07T22:04:00Z,0,402914203451
ORD-00144,356600,paid,2026-08-07T07:06:00Z,0,pay_Ca52kT3HwB
ORD-00145,393600,paid,2026-08-09T21:02:00Z,0,pay_etiA7BFvpv
ORD-00146,847900,paid,2026-08-08T19:19:00Z,0,pay_SQZqhQo4xP
ORD-00147,261200,paid,2026-08-08T06:04:00Z,0,pay_sypyMY6NLa
ORD-00148,720200,paid,2026-08-09T22:28:00Z,0,pay_gZcpVXabFH
ORD-00149,781400,paid,2026-08-09T07:20:00Z,0,pay_gSLvHs9NDB
ORD-00150,685700,paid,2026-08-09T06:29:00Z,0,402914203451
ORD-00151,352100,paid,2026-08-09T13:40:00Z,0,pay_Re72Zcj7p2
ORD-00152,399500,paid,2026-08-09T19:02:00Z,0,pay_Guf5qeSQHy
ORD-00153,361600,refunded,2026-08-07T06:19:00Z,361600,402914203451
ORD-00154,714500,paid,2026-08-07T16:01:00Z,0,402914203451
ORD-00155,127600,paid,2026-08-11T15:52:00Z,0,pay_VKPz4TfQS2
ORD-00156,97600,paid,2026-08-11T11:42:00Z,0,
ORD-00157,40400,paid,2026-08-11T11:50:00Z,0,pay_S8h2PY3NjQ
ORD-00158,397900,paid,2026-08-10T07:39:00Z,0,pay_QHo5t2aSdn
ORD-00159,312600,paid,2026-08-11T08:03:00Z,0,402914330098
ORD-00160,131600,paid,2026-08-10T13:23:00Z,0,
ORD-00161,258200,paid,2026-08-11T20:48:00Z,0,402914330098
ORD-00162,405200,paid,2026-08-11T06:51:00Z,0,402914330098
ORD-00163,451500,paid,2026-08-10T20:53:00Z,0,pay_gMQ54AXi07
ORD-00164,741300,paid,2026-08-10T10:50:00Z,0,pay_TEMLMjaNh9
ORD-00165,753800,paid,2026-08-10T14:28:00Z,0,
ORD-00166,190200,paid,2026-08-10T15:36:00Z,0,pay_FfK56Vi3bM
ORD-00167,856200,paid,2026-08-10T12:19:00Z,0,402914330098
ORD-00168,265900,paid,2026-08-10T20:59:00Z,0,pay_zn3T619ME1
ORD-00169,196200,refunded,2026-08-10T19:54:00Z,196200,402914330098
ORD-00170,362900,paid,2026-08-10T21:10:00Z,0,pay_An09kwqy7j
ORD-00171,76900,paid,2026-08-11T15:31:00Z,0,pay_yQ6tSgYtSo
ORD-00172,632500,paid,2026-08-11T13:08:00Z,0,pay_JotyFBo00t
ORD-00173,310700,paid,2026-08-11T17:06:00Z,0,402914330098
ORD-00174,365100,paid,2026-08-10T13:52:00Z,0,pay_uRq0x4ZA9i
ORD-00175,685200,paid,2026-08-10T08:02:00Z,0,pay_ym35zdAPUw
ORD-00176,808500,paid,2026-08-10T22:17:00Z,0,
ORD-00177,115100,paid,2026-08-10T06:27:00Z,0,
ORD-00178,234700,paid,2026-08-10T18:41:00Z,0,402914330098
ORD-00179,62000,paid,2026-08-10T18:33:00Z,0,
ORD-00180,432500,refunded,2026-08-11T08:14:00Z,432500,
ORD-00181,164100,paid,2026-08-11T20:44:00Z,0,pay_C3heVtK6iP
ORD-00182,590500,paid,2026-08-11T17:19:00Z,0,402914330098
ORD-00183,804900,paid,2026-08-12T11:40:00Z,0,402914455512
ORD-00184,241500,paid,2026-08-12T15:17:00Z,0,pay_t7Kfo1xoK0
ORD-00185,448200,paid,2026-08-12T19:51:00Z,0,pay_j69iF2Sk9q
ORD-00186,71400,paid,2026-08-12T19:48:00Z,0,
ORD-00187,227500,paid,2026-08-12T10:50:00Z,0,pay_rbrqTVqc0o
ORD-00188,641900,paid,2026-08-12T09:36:00Z,0,402914455512
ORD-00189,45100,paid,2026-08-12T18:16:00Z,0,pay_LVypLGKwzA
ORD-00190,181700,paid,2026-08-12T13:37:00Z,0,402914455512
ORD-00191,643800,paid,2026-08-12T18:36:00Z,0,402914455512
ORD-00192,246800,paid,2026-08-12T18:48:00Z,0,pay_GStWPzdPeN
ORD-00193,867300,paid,2026-08-12T15:13:00Z,0,pay_KJWagj146M
ORD-00194,821100,paid,2026-08-12T19:43:00Z,0,
ORD-00195,502300,paid,2026-08-12T11:32:00Z,0,pay_Mi6bueh4uP
ORD-00196,671400,paid,2026-08-12T18:29:00Z,0,402914455512
ORD-00197,253800,refunded,2026-08-12T18:35:00Z,253800,402914455512
ORD-00198,431200,paid,2026-08-12T21:39:00Z,0,pay_qDYsFRBn5f
ORD-00199,387700,paid,2026-08-12T12:39:00Z,0,402914455512
ORD-00200,816300,paid,2026-08-12T21:58:00Z,0,402914455512
ORD-00201,372300,paid,2026-08-12T07:52:00Z,0,pay_AFGecXyDS1
ORD-00202,880900,paid,2026-08-12T08:50:00Z,0,pay_M1KXV8txvW
ORD-00203,242500,paid,2026-08-12T16:43:00Z,0,pay_Kru32kkKwh
ORD-00204,470300,paid,2026-08-12T21:13:00Z,0,pay_LRaTKSmRgS
ORD-00205,336300,paid,2026-08-12T18:33:00Z,0,pay_JhoquPoJvB
ORD-00206,390900,paid,2026-08-12T10:59:00Z,0,pay_apwDVVn0Yk
ORD-00207,804900,paid,2026-08-12T13:32:00Z,0,402914455513
ORD-00208,241500,paid,2026-08-12T19:59:00Z,0,pay_uYD5hjr5Kr
ORD-00209,448200,paid,2026-08-12T19:22:00Z,0,pay_ENKZeVAEr6
ORD-00210,71400,paid,2026-08-12T10:13:00Z,0,pay_qWZ9dra1oh
ORD-00211,227500,paid,2026-08-12T16:17:00Z,0,
ORD-00212,641900,paid,2026-08-12T22:02:00Z,0,402914455513
ORD-00213,45100,paid,2026-08-12T21:58:00Z,0,pay_gH9ADyGauV
ORD-00214,181700,paid,2026-08-12T16:52:00Z,0,pay_pfBZtQgfea
ORD-00215,643800,paid,2026-08-12T17:55:00Z,0,pay_WifwkW410J
ORD-00216,246800,paid,2026-08-12T20:47:00Z,0,402914455513
ORD-00217,867300,paid,2026-08-12T21:03:00Z,0,pay_e2f284nTy5
ORD-00218,821100,paid,2026-08-12T17:36:00Z,0,pay_MXhkhqxB4Q
ORD-00219,502300,paid,2026-08-12T22:50:00Z,0,pay_m3sNWmtBkt
ORD-00220,671400,paid,2026-08-12T14:58:00Z,0,402914455513
ORD-00221,253800,refunded,2026-08-12T08:04:00Z,253800,pay_ZJNJ0LuVoR
ORD-00222,431200,paid,2026-08-12T16:02:00Z,0,402914455513
ORD-00223,387700,paid,2026-08-12T20:34:00Z,0,pay_cWRnKCDbJ9
ORD-00224,816300,paid,2026-08-12T09:07:00Z,0,pay_PThc8sQwST
ORD-00225,372300,paid,2026-08-12T09:04:00Z,0,pay_irtRpQthEg
ORD-00226,880900,paid,2026-08-12T20:04:00Z,0,pay_3LYTR7i0q7
ORD-00227,242500,paid,2026-08-12T20:08:00Z,0,pay_EJys4wg6zm
ORD-00228,470300,paid,2026-08-12T16:38:00Z,0,pay_GGPEx4Ai2N
ORD-00229,336300,paid,2026-08-12T19:20:00Z,0,pay_oqb8rCaUH0
ORD-00230,390900,paid,2026-08-12T13:01:00Z,0,pay_zNnyZuEvGm
ORD-00231,624000,refunded,2026-08-13T21:29:00Z,624000,pay_g79wmfKEiG
ORD-00232,81400,paid,2026-08-13T10:30:00Z,0,pay_rnTHVS2Lbm
ORD-00233,171700,paid,2026-08-13T16:50:00Z,0,pay_zq2nsLJvc6
ORD-00234,44100,paid,2026-08-13T08:47:00Z,0,
ORD-00235,149500,paid,2026-08-13T12:15:00Z,0,pay_kWRt4ruTsG
ORD-00236,80500,paid,2026-08-13T20:37:00Z,0,pay_bSfZWCbEhu
ORD-00237,476000,paid,2026-08-13T21:51:00Z,0,pay_nLmrGp3cz0
ORD-00238,566600,paid,2026-08-13T08:53:00Z,0,pay_MNzG3EzaV8
ORD-00239,683300,paid,2026-08-13T21:10:00Z,0,402914502277
ORD-00240,634400,paid,2026-08-13T11:59:00Z,0,pay_nff4NyBR6k
ORD-00241,257100,paid,2026-08-13T09:18:00Z,0,pay_wdP8Zn4jKc
ORD-00242,848200,paid,2026-08-13T21:57:00Z,0,pay_HmGDmQyy3A
ORD-00243,612200,paid,2026-08-13T10:55:00Z,0,pay_2ZMXjs9GCs
ORD-00244,259600,paid,2026-08-13T08:20:00Z,0,
ORD-00245,535000,paid,2026-08-13T06:27:00Z,0,pay_qdW2MJ1xAT
ORD-00246,527700,paid,2026-08-13T19:13:00Z,0,pay_oV8gShXajz
ORD-00247,187300,paid,2026-08-13T18:51:00Z,0,402914502277
ORD-00248,531300,paid,2026-08-13T13:04:00Z,0,pay_QboSpYJJmJ
ORD-00249,259900,paid,2026-08-13T14:31:00Z,0,
ORD-00250,681800,paid,2026-08-13T21:58:00Z,0,pay_s6PqrAGtQZ
ORD-00251,647000,paid,2026-08-13T06:07:00Z,0,
ORD-00252,857700,refunded,2026-08-13T18:15:00Z,857700,pay_8JTLkXktLe
ORD-00253,268700,paid,2026-08-13T15:51:00Z,0,402914502277
ORD-00254,662500,paid,2026-08-13T13:04:00Z,0,402914502277
ORD-00255,514900,paid,2026-08-13T09:38:00Z,0,pay_Qsumid3rbz
ORD-00256,784000,paid,2026-08-13T21:42:00Z,0,pay_kL7M70YZpf
